F,Z11,Theta11,Z12,Theta12,Z13,Theta13,,Z21,Theta21,Z22,Theta22,Z23,Theta23,,Z31,Theta31,Z32,Theta32,Z33,Theta33,,Z41,Theta41,Z42,Theta42,Z43,Theta43,,Z51,Theta51,Z52,Theta52,Z53,Theta53,,Z61,Theta61,Z62,Theta62,Z63,Theta63,,Z71,Theta71,Z72,Theta72,Z73,Theta73,,Z81,Theta81,Z82,Theta82,Z83,Theta83,,Z91,Theta91,Z92,Theta92,Z93,Theta93
125892.5,99060,-86.65,111000,-87.6,105200,-87.41,,101720,-86.92,106780,-87.63,100560,-87.1,,101950,-87.14,99830,-87.13,107070,-87.74,,103380,-87.29,104680,-87.76,98610,-86.83,,119000,-88.9,100370,-87.42,102170,-87.46,,92640,-85.54,100500,-87.24,93710,-85.74,,97790,-86.29,91230,-85.78,95440,-86.16,,96220,-86.36,93260,-86.02,94800,-85.91,,93490,-85.92,96040,-86.77,95530,-86.28
141253.7,88730,-86.62,99370,-87.75,94010,-87.43,,90950,-87.09,95310,-87.8,90000,-87.17,,91200,-87.1,89320,-87.16,95740,-87.6,,92440,-87.26,93610,-87.73,88190,-86.95,,105620,-89.02,89750,-87.35,91380,-87.59,,82970,-85.74,89840,-87.29,83880,-85.9,,87530,-86.27,81650,-85.97,85370,-86.43,,86060,-86.47,83440,-86.24,84900,-86.07,,83710,-86.07,86010,-86.77,85520,-86.44
158489.3,79320,-86.8,88820,-87.72,84060,-87.51,,81360,-87.05,85280,-87.71,80430,-87.22,,81530,-87.27,79830,-87.26,85520,-87.84,,82560,-87.47,83580,-87.84,78900,-86.97,,94330,-88.95,80230,-87.52,81670,-87.56,,74310,-85.84,80370,-87.36,75140,-86,,78260,-86.55,73170,-86,76460,-86.39,,77090,-86.55,74770,-86.23,76000,-86.15,,74910,-86.17,76890,-86.92,76540,-86.48
177827.9,70950,-86.85,79340,-87.76,75130,-87.56,,72750,-87.12,76210,-87.76,71920,-87.29,,72880,-87.36,71370,-87.32,76390,-87.88,,73760,-87.53,74660,-87.89,70550,-87.04,,84190,-89,71690,-87.58,72980,-87.62,,66530,-85.97,71830,-87.41,67260,-86.1,,70000,-86.67,65510,-86.1,68420,-86.51,,68970,-86.63,66910,-86.32,68020,-86.27,,67050,-86.28,68760,-86.98,68480,-86.57
199526.2,63420,-87.03,70800,-87.72,67090,-87.72,,65090,-87.17,68110,-87.74,64300,-87.3,,65150,-87.43,63830,-87.4,68280,-87.95,,65880,-87.68,66710,-87.95,63070,-87.13,,75100,-89,64080,-87.63,65270,-87.7,,59550,-86.09,64240,-87.52,60200,-86.24,,62590,-86.79,58600,-86.19,61300,-86.6,,61700,-86.72,59930,-86.45,60870,-86.37,,59950,-86.43,61490,-87.07,61270,-86.65
223872.1,56770,-87,63360,-87.86,59990,-87.64,,58160,-87.26,60880,-87.85,57500,-87.4,,58260,-87.48,57050,-87.42,60980,-87.96,,58890,-87.69,59630,-87.94,56430,-87.16,,67010,-89.01,57280,-87.66,58310,-87.71,,53310,-86.22,57410,-87.53,53910,-86.34,,56010,-86.89,52510,-86.29,54760,-86.69,,55220,-86.79,53610,-86.5,54490,-86.47,,53690,-86.49,55010,-87.11,54830,-86.74
251188.6,50780,-87.08,56630,-87.89,53630,-87.72,,52010,-87.32,54400,-87.89,51410,-87.45,,52070,-87.54,51000,-87.47,54500,-87.98,,52610,-87.77,53270,-87.99,50460,-87.23,,59830,-89.02,51200,-87.7,52110,-87.76,,47720,-86.33,51310,-87.58,48240,-86.44,,50080,-86.98,47000,-86.38,48990,-86.79,,49410,-86.88,47980,-86.58,48760,-86.56,,48050,-86.6,49190,-87.18,49050,-86.83
281838.2,45410,-87.14,50590,-87.93,47920,-87.74,,46490,-87.38,48600,-87.93,45960,-87.5,,46540,-87.6,45590,-87.53,48690,-88.03,,46990,-87.83,47600,-88.02,45110,-87.29,,53390,-89.04,45770,-87.75,46570,-87.81,,42700,-86.44,45870,-87.64,43170,-86.55,,44780,-87.08,42070,-86.47,43830,-86.88,,44210,-86.95,42940,-86.66,43630,-86.67,,42990,-86.7,44010,-87.24,43880,-86.92
316227.7,40610,-87.19,45210,-87.97,42820,-87.79,,41570,-87.43,43420,-87.98,41090,-87.55,,41600,-87.65,40750,-87.58,43490,-88.05,,41980,-87.89,42530,-88.06,40340,-87.36,,47630,-89.06,40900,-87.79,41610,-87.85,,38220,-86.56,41000,-87.69,38630,-86.65,,40040,-87.17,37650,-86.55,39200,-86.96,,39540,-87.04,38430,-86.73,39030,-86.74,,38450,-86.79,39350,-87.3,39250,-86.99
354813.3,36320,-87.26,40400,-88.01,38260,-87.84,,37150,-87.5,38800,-88.02,36730,-87.61,,37180,-87.7,36420,-87.63,38850,-88.09,,37500,-87.94,37990,-88.1,36060,-87.42,,42500,-89.08,36540,-87.84,37190,-87.89,,34190,-86.66,36640,-87.74,34560,-86.74,,35800,-87.27,33700,-86.62,35060,-87.04,,35370,-87.1,34380,-86.81,34920,-86.84,,34400,-86.88,35180,-87.36,35110,-87.08
398107.1,32480,-87.32,36090,-88.06,34180,-87.89,,33210,-87.56,34670,-88.07,32830,-87.66,,33230,-87.76,32550,-87.68,34710,-88.14,,33490,-88,33940,-88.14,32240,-87.48,,37930,-89.1,32660,-87.88,33220,-87.95,,30590,-86.75,32740,-87.79,30920,-86.83,,32000,-87.34,30160,-86.71,31350,-87.12,,31640,-87.17,30760,-86.89,31240,-86.93,,30770,-86.97,31460,-87.43,31400,-87.16
446683.5,29030,-87.37,32250,-88.1,30540,-87.93,,29680,-87.61,30970,-88.1,29350,-87.71,,29700,-87.8,29100,-87.72,31010,-88.17,,29920,-88.04,30320,-88.16,28830,-87.53,,33850,-89.1,29190,-87.92,29690,-87.98,,27370,-86.84,29260,-87.83,27660,-86.91,,28620,-87.41,26980,-86.78,28040,-87.18,,28300,-87.24,27520,-86.95,27940,-87,,27520,-87.05,28120,-87.48,28080,-87.22
501187.2,25960,-87.42,28820,-88.13,27290,-87.97,,26540,-87.66,27680,-88.13,26230,-87.75,,26550,-87.84,26010,-87.76,27710,-88.22,,26720,-88.08,27090,-88.21,25770,-87.57,,30210,-89.12,26080,-87.95,26530,-88.02,,24490,-86.92,26160,-87.87,24750,-86.98,,25580,-87.48,24150,-86.84,25080,-87.25,,25310,-87.29,24620,-87,25000,-87.07,,24610,-87.12,25150,-87.53,25110,-87.28
562341.3,23210,-87.46,25750,-88.16,24390,-88.01,,23720,-87.71,24730,-88.16,23450,-87.79,,23730,-87.88,23250,-87.8,24760,-88.25,,23870,-88.1,24210,-88.24,23040,-87.62,,26960,-89.14,23310,-87.98,23710,-88.04,,21910,-86.99,23370,-87.91,22140,-87.05,,22870,-87.54,21610,-86.9,22430,-87.31,,22640,-87.34,22030,-87.06,22360,-87.13,,22020,-87.19,22490,-87.58,22460,-87.34
630957.3,20760,-87.51,23020,-88.21,21790,-88.04,,21200,-87.75,22100,-88.21,20960,-87.82,,21210,-87.92,20780,-87.83,22120,-88.27,,21330,-88.13,21630,-88.26,20600,-87.66,,24060,-89.15,20840,-88.01,21190,-88.08,,19600,-87.06,20890,-87.95,19810,-87.12,,20450,-87.6,19340,-86.96,20060,-87.36,,20250,-87.4,19710,-87.12,20000,-87.2,,19690,-87.25,20110,-87.62,20090,-87.4
707945.7,18560,-87.55,20570,-88.25,19470,-88.07,,18960,-87.78,19750,-88.24,18740,-87.86,,18960,-87.96,18580,-87.87,19770,-88.3,,19060,-88.16,19330,-88.29,18420,-87.7,,21480,-89.16,18620,-88.04,18940,-88.11,,17530,-87.13,18670,-87.98,17720,-87.19,,18280,-87.66,17300,-87.02,17940,-87.42,,18110,-87.45,17630,-87.17,17890,-87.26,,17610,-87.32,17980,-87.66,17970,-87.46
794328.2,16600,-87.59,18380,-88.27,17400,-88.1,,16950,-87.83,17650,-88.27,16750,-87.9,,16950,-87.99,16610,-87.9,17660,-88.33,,17030,-88.18,17270,-88.31,16470,-87.75,,19180,-89.17,16640,-88.07,16920,-88.14,,15690,-87.2,16690,-88.02,15850,-87.25,,16340,-87.71,15480,-87.07,16050,-87.47,,16200,-87.5,15770,-87.22,16010,-87.31,,15760,-87.38,16070,-87.71,16070,-87.51
891250.9,14850,-87.63,16430,-88.31,15550,-88.12,,15150,-87.87,15770,-88.3,14980,-87.92,,15150,-88.02,14850,-87.93,15790,-88.35,,15220,-88.22,15440,-88.34,14730,-87.78,,17120,-89.18,14880,-88.1,15130,-88.16,,14040,-87.26,14920,-88.05,14180,-87.31,,14620,-87.76,13860,-87.12,14360,-87.51,,14500,-87.54,14120,-87.27,14320,-87.36,,14090,-87.43,14380,-87.75,14370,-87.56
1000000,13290,-87.66,14690,-88.33,13910,-88.15,,13550,-87.9,14100,-88.32,13400,-87.95,,13550,-88.05,13280,-87.96,14110,-88.38,,13600,-88.23,13800,-88.35,13170,-87.81,,15290,-89.2,13310,-88.12,13530,-88.18,,12560,-87.3,13340,-88.08,12700,-87.36,,13070,-87.79,12400,-87.16,12840,-87.55,,12970,-87.59,12640,-87.31,12820,-87.41,,12610,-87.48,12860,-87.79,12860,-87.6
1122018,11880,-87.68,13130,-88.34,12430,-88.16,,12120,-87.92,12610,-88.33,11980,-87.97,,12120,-88.07,11880,-87.97,12610,-88.38,,12160,-88.23,12340,-88.35,11780,-87.83,,13660,-89.2,11900,-88.13,12090,-88.22,,11240,-87.34,11930,-88.1,11360,-87.39,,11690,-87.82,11100,-87.19,11490,-87.57,,11610,-87.61,11310,-87.33,11470,-87.44,,11280,-87.51,11500,-87.8,11510,-87.62
1258925,10609,-87.67,11750,-88.36,11120,-88.17,,10819,-87.91,11280,-88.34,10697,-87.95,,10813,-88.06,10602,-87.96,11280,-88.38,,10849,-88.17,11040,-88.36,10519,-87.82,,12210,-89.19,10619,-88.1,10793,-88.17,,10044,-87.34,10650,-88.07,10148,-87.39,,10439,-87.82,9921,-87.18,10263,-87.57,,10364,-87.6,10103,-87.33,10244,-87.44,,10081,-87.49,10274,-87.78,10277,-87.6
1412537,9504,-87.69,10490,-88.34,9930,-88.14,,9688,-87.93,10070,-88.32,9580,-87.96,,9682,-88.07,9495,-87.97,10074,-88.37,,9713,-88.17,9853,-88.34,9421,-87.84,,10887,-89.16,9508,-88.11,9663,-88.21,,9001,-87.37,9538,-88.08,9094,-87.42,,9349,-87.84,8892,-87.2,9195,-87.59,,9286,-87.63,9053,-87.35,9178,-87.46,,9032,-87.53,9202,-87.8,9208,-87.64
