,Red,Green,Blue,W1,Pot1,W2,Pot2,W3,Pot3,Fruit
51,111.0,77.0,62.0,272.5,241.5,193.5,241.5,83.0,241.5,2.0
52,111.0,77.0,62.0,282.0,238.5,220.0,238.5,86.5,238.5,2.0
53,106.0,80.0,63.0,293.5,262.0,165.5,262.0,134.0,262.0,2.0
0,102.0,90.0,57.0,250.5,252.0,256.0,252.0,78.0,252.0,3.0
1,99.0,92.0,59.0,254.0,246.0,462.5,246.0,221.5,246.0,3.0
2,97.0,92.0,60.0,240.5,243.0,491.5,243.0,283.0,243.0,3.0
3,102.0,90.0,57.0,267.0,224.0,215.5,224.0,85.0,224.0,3.0
4,100.0,91.0,58.0,242.5,243.0,297.5,243.0,249.5,243.0,3.0
5,98.0,92.0,59.0,242.0,246.0,482.5,246.0,233.5,246.0,3.0
6,99.0,91.0,59.0,241.5,244.5,405.5,244.5,199.0,244.5,3.0
7,101.0,91.0,57.0,250.0,182.0,345.0,182.0,108.5,182.0,3.0
8,97.0,92.0,60.0,260.0,174.0,446.0,174.0,226.5,174.0,3.0
9,102.0,91.0,57.0,244.0,249.5,245.0,249.5,82.5,249.5,3.0
10,98.0,92.0,59.0,251.0,246.5,424.5,246.5,207.5,246.5,3.0
11,102.0,90.0,57.0,273.5,249.0,214.5,249.0,82.5,249.0,3.0
12,101.0,91.0,57.0,212.5,213.0,283.0,213.0,151.5,213.0,3.0
13,101.0,91.0,57.0,243.0,241.5,343.5,241.5,129.0,241.5,3.0
14,102.0,90.0,57.0,269.5,219.0,228.5,219.0,80.0,219.0,3.0
15,98.0,91.0,59.0,242.5,243.0,449.0,243.0,241.0,243.0,3.0
16,97.0,92.0,60.0,234.0,243.0,487.5,243.0,263.0,243.0,3.0
17,97.0,92.0,59.0,221.0,193.0,543.5,193.0,235.0,193.0,3.0
18,101.0,91.0,57.0,245.5,197.0,294.0,197.0,175.0,197.0,3.0
19,101.0,90.0,58.0,259.0,196.5,335.5,196.5,72.0,196.5,3.0
20,101.0,91.0,57.0,243.0,244.0,315.5,244.0,132.5,244.0,3.0
21,97.0,92.0,60.0,265.0,225.5,465.0,225.5,247.0,225.5,3.0
22,101.0,91.0,58.0,216.5,242.0,334.5,242.0,210.5,242.0,3.0
23,102.0,91.0,57.0,281.0,237.0,240.0,237.0,82.5,237.0,3.0
24,97.0,92.0,60.0,254.0,242.0,343.0,242.0,229.5,242.0,3.0
25,97.0,92.0,60.0,238.0,243.0,504.0,243.0,282.5,243.0,3.0
26,98.0,91.0,59.0,240.0,244.0,467.0,244.0,274.5,244.0,3.0
27,98.0,92.0,59.0,252.5,246.0,437.0,246.0,215.5,246.0,3.0
28,98.0,92.0,59.0,249.0,245.0,472.5,245.0,255.5,245.0,3.0
29,101.0,91.0,58.0,262.5,193.0,326.5,193.0,96.0,193.0,3.0
30,101.0,91.0,58.0,262.5,250.0,225.0,250.0,78.0,250.0,3.0
31,98.0,92.0,59.0,244.5,242.0,482.5,242.0,288.0,242.0,3.0
32,101.0,91.0,57.0,261.0,249.0,235.5,249.0,86.5,249.0,3.0
33,98.0,92.0,59.0,240.0,247.0,471.0,247.0,205.0,247.0,3.0
34,98.0,92.0,59.0,269.5,246.0,453.5,246.0,243.0,246.0,3.0
35,101.0,91.0,58.0,225.0,249.5,258.5,249.5,62.0,249.5,3.0
36,101.0,91.0,58.0,235.5,241.5,287.0,241.5,203.0,241.5,3.0
37,97.0,92.0,59.0,242.0,244.0,486.0,244.0,256.0,244.0,3.0
38,102.0,90.0,57.0,260.0,248.5,233.0,248.5,89.0,248.5,3.0
39,98.0,92.0,59.0,248.5,243.0,458.0,243.0,294.5,243.0,3.0
0,111.0,76.0,63.0,304.5,157.0,241.5,157.0,39.0,157.0,4.0
1,113.0,77.0,61.0,297.5,202.5,258.0,202.5,172.5,202.5,4.0
2,116.0,75.0,61.0,357.5,246.0,35.5,246.0,115.5,246.0,4.0
3,117.0,74.0,61.0,428.0,255.5,84.5,255.5,122.0,255.5,4.0
4,112.0,76.0,63.0,299.0,204.5,239.0,204.5,34.0,204.5,4.0
5,130.0,68.0,56.0,112.5,227.5,164.0,227.5,86.5,227.5,4.0
6,113.0,75.0,62.0,218.0,153.0,215.5,153.0,74.0,153.0,4.0
7,114.0,76.0,61.0,316.0,169.5,214.5,169.5,198.0,169.5,4.0
8,110.0,74.0,62.0,439.5,251.5,181.0,251.5,98.5,251.5,4.0
9,117.0,74.0,61.0,421.5,251.0,104.0,251.0,123.0,251.0,4.0
10,130.0,68.0,56.0,117.0,232.0,167.0,232.0,94.0,232.0,4.0
11,113.0,77.0,61.0,299.5,180.0,218.5,180.0,157.5,180.0,4.0
12,128.0,69.0,57.0,88.5,293.0,183.5,293.0,78.0,293.0,4.0
13,112.0,73.0,62.0,346.5,251.0,121.5,251.0,196.5,251.0,4.0
